TILE;UTM;GEOMETRY
1;19;Polygon ((417848.98619321006117389 5245750.43759144563227892, 427802.70916481700260192 5244981.42005906067788601, 427034.29456730902893469 5235028.20059657841920853, 417080.47182869858806953 5235796.11139285005629063, 417648.11083169846097007 5243149.9546080706641078, 417648.11083169846097007 5243149.9546080706641078, 417848.98619321006117389 5245750.43759144563227892))
2;19;Polygon ((418618.60626950429286808 5255704.66314622014760971, 428572.22962227510288358 5254934.54077902715653181, 427802.70916481700260192 5244981.42005906067788601, 417848.98619321006117389 5245750.43759144563227892, 418417.44223268330097198 5253104.20644109416753054, 418417.44223268330097198 5253104.20644109416753054, 418618.60626950429286808 5255704.66314622014760971))
3;19;Polygon ((406924.92870390421012416 5233963.32427799422293901, 416879.88563930673990399 5233195.60209289006888866, 416112.76855569414328784 5223241.14874973148107529, 406157.70977077656425536 5224007.76194853987544775, 406700.18541634047869593 5231048.51767209265381098, 406700.18541634047869593 5231048.51767209265381098, 406924.92870390421012416 5233963.32427799422293901))
4;19;Polygon ((407693.2556019522016868 5243918.78387976251542568, 417648.11083169846097007 5243149.9546080706641078, 417080.47182869858806953 5235796.11139285005629063, 416879.88563930673990399 5233195.60209289006888866, 406924.92870390421012416 5233963.32427799422293901, 407468.18811810755869374 5241004.00733597856014967, 407468.18811810755869374 5241004.00733597856014967, 407693.2556019522016868 5243918.78387976251542568))
5;19;Polygon ((408462.6885632483754307 5253874.1408972255885601, 418417.44223268330097198 5253104.20644109416753054, 417848.98619321006117389 5245750.43759144563227892, 417848.98619321006117389 5245750.43759144563227892, 417848.98619321006117389 5245750.43759144563227892, 417648.11083169846097007 5243149.9546080706641078, 407693.2556019522016868 5243918.78387976251542568, 408237.29744015110190958 5250959.39437342993915081, 408237.29744015110190958 5250959.39437342993915081, 408462.6885632483754307 5253874.1408972255885601))
6;19;Polygon ((409233.2256836851593107 5263829.39547525346279144, 419187.87793963588774204 5263058.35773926321417093, 418618.60626950429286808 5255704.66314622014760971, 418618.60626950429286808 5255704.66314622014760971, 418417.44223268330097198 5253104.20644109416753054, 408462.6885632483754307 5253874.1408972255885601, 409007.51147907919948921 5260914.67892887536436319, 409233.2256836851593107 5263829.39547525346279144))
7;19;Polygon ((395977.09218394279014319 5221859.31629745475947857, 405933.29123580711893737 5221092.92523881886154413, 405167.50747501745354384 5211137.22989470511674881, 395211.20449379889760166 5211902.50965473428368568, 395600.29804397840052843 5216962.6796907689422369, 395600.29804397840052843 5216962.6796907689422369, 395977.09218394279014319 5221859.31629745475947857))
8;19;Polygon ((396744.0901543406653218 5231816.01813130453228951, 406700.18541634047869593 5231048.51767209265381098, 406157.70977077656425536 5224007.76194853987544775, 405933.29123580711893737 5221092.92523881886154413, 395977.09218394279014319 5221859.31629745475947857, 396366.75022785115288571 5226919.43305120710283518, 396366.75022785115288571 5226919.43305120710283518, 396744.0901543406653218 5231816.01813130453228951))
9;19;Polygon ((397512.19650499254930764 5241772.61529528722167015, 407468.18811810755869374 5241004.00733597856014967, 406924.92870390421012416 5233963.32427799422293901, 406924.92870390421012416 5233963.32427799422293901, 406924.92870390421012416 5233963.32427799422293901, 406700.18541634047869593 5231048.51767209265381098, 396744.0901543406653218 5231816.01813130453228951, 397134.31172668404178694 5236876.08167323004454374, 397134.31172668404178694 5236876.08167323004454374, 397512.19650499254930764 5241772.61529528722167015))
10;19;Polygon ((398281.40933345269877464 5251729.10792991425842047, 408237.29744015110190958 5250959.39437342993915081, 407693.2556019522016868 5243918.78387976251542568, 407693.2556019522016868 5243918.78387976251542568, 407693.2556019522016868 5243918.78387976251542568, 407468.18811810755869374 5241004.00733597856014967, 397512.19650499254930764 5241772.61529528722167015, 397902.98063923174049705 5246832.62569661159068346, 397902.98063923174049705 5246832.62569661159068346, 398281.40933345269877464 5251729.10792991425842047))
